1986_LST,1990_LST,2017_LST,NDBI_1986,NDBI_1990,NDBI_2017,NDLI_1986,NDLI_1990,NDLI_2017,NDVI_1986,NDVI_1990,NDVI_2017,,,LST,1986,1990,2017
26.389,22.958,27.294,0.037,-0.107,0.089,0.002,0.006,-0.049,0.491,0.507,0.323,,,,,,
25.579,22.461,26.121,-0.070,-0.141,-0.130,-0.008,0.001,-0.017,0.404,0.497,0.519,,,,,,
27.719,24.302,26.642,0.114,0.081,0.091,-0.007,-0.023,-0.044,0.410,0.337,0.368,,,,,,
29.804,23.379,28.263,0.037,-0.017,-0.103,-0.005,0.009,0.004,0.452,0.441,0.561,,,,,,
25.838,22.784,25.641,-0.199,-0.196,-0.336,-0.018,0.030,-0.003,0.106,0.143,0.381,,,,,,
26.470,24.737,26.830,0.138,0.025,0.076,-0.025,-0.021,-0.039,0.330,0.338,0.368,,,,,,
23.878,23.447,27.606,0.134,0.094,0.178,-0.024,-0.035,-0.054,0.282,0.208,0.225,,,,,,
27.701,23.835,28.364,-0.011,-0.042,-0.130,0.002,0.007,-0.016,0.443,0.407,0.478,,,,,,
28.598,24.755,27.733,0.120,0.071,0.089,-0.009,0.009,-0.018,0.336,0.267,0.417,,,,,,
28.180,24.277,27.900,0.126,0.047,0.083,-0.021,-0.003,-0.012,0.319,0.399,0.417,,,,,,
25.958,22.980,27.641,-0.041,0.038,0.125,0.000,-0.018,-0.043,0.491,0.350,0.275,,,,,,
26.485,26.056,28.516,0.271,0.176,0.112,-0.046,-0.051,-0.035,0.267,0.257,0.375,,,,,,
24.934,21.849,25.529,-0.441,-0.271,-0.347,0.050,0.046,-0.003,0.015,0.054,-0.040,,,,,,
27.762,23.437,26.036,0.236,0.051,0.003,-0.020,-0.017,0.007,0.295,0.293,0.531,,,,,,
26.442,22.972,25.907,0.053,0.035,0.014,-0.018,-0.013,-0.034,0.401,0.369,0.408,,,,,,
28.196,23.882,28.374,0.172,0.136,0.165,-0.061,-0.046,-0.063,0.235,0.260,0.257,,,,,,
26.700,23.244,26.369,0.152,-0.142,-0.245,0.001,0.016,-0.016,-0.049,0.102,0.055,,,,,,
25.970,23.422,27.633,0.027,0.077,0.096,0.012,-0.023,-0.035,0.474,0.345,0.343,,,,,,
27.284,22.911,27.043,0.046,-0.074,-0.026,0.003,0.012,-0.028,0.428,0.484,0.436,,,,,,
